Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,MP
Igor Drapinski,pl POL,DF,18-261,2.0,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Miroslav Gono,sk SVK,MF,22-107,2.0,1,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Milan Kvocera,sk SVK,FW,25-046,7.0,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Pawel Churpalla,no NOR,FW,19-337,1.0,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Tomasz Walczak,pl POL,FW,17-183,1.0,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Oskar Lodzinski,pl POL,GK,18-211,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Squad Total,,,28.0,19.0,209,1710.0,19.0,29.0,23.0,52.0,27.0,2.0,3.0,35.0,3.0,,,,1.53,1.21,2.74,1.42,2.63,,
Opponent Total,,,27.7,19.0,209,1710.0,19.0,25.0,15.0,40.0,21.0,4.0,4.0,42.0,1.0,,,,1.32,0.79,2.11,1.11,1.89,,
Jan Grzesik,pl POL,"MF,DF",28-118,19.0,19,1710.0,19.0,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,,,,0.16,0.05,0.21,0.16,0.21,Matches,
Dawid Szymonowicz,pl POL,DF,27-224,19.0,19,1710.0,19.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,0.05,0.0,0.05,0.05,0.05,Matches,
Robert Ivanov,fi FIN,DF,28-150,19.0,19,1679.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Adam Zreľák,sk SVK,FW,28-287,16.0,16,1426.0,15.8,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,,,,0.32,0.19,0.5,0.32,0.5,Matches,
Dimitris Stavropoulos,gr GRE,DF,25-291,18.0,15,1444.0,16.0,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,,,,0.12,0.0,0.12,0.12,0.12,Matches,
Adrian Lis,pl POL,GK,30-264,15.0,15,1318.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Konrad Matuszewski,pl POL,"MF,DF",21-135,16.0,15,1270.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.07,0.07,0.0,0.07,Matches,
Michał Kopczyński,pl POL,MF,30-246,16.0,14,1216.0,13.5,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,,,,0.07,0.0,0.07,0.0,0.0,Matches,
Miguel Luís,pt POR,"MF,FW",23-354,17.0,14,1118.0,12.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,0.16,0.0,0.16,0.16,0.16,Matches,
Mateusz Kupczak,pl POL,"MF,DF",30-361,14.0,11,1067.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.08,0.08,0.0,0.08,Matches,
Niilo Mäenpää,fi FIN,"MF,FW",25-033,17.0,10,843.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.11,0.11,0.0,0.11,Matches,
Maciej Żurawski,pl POL,MF,22-056,16.0,9,725.0,8.1,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,0.25,0.12,0.37,0.25,0.37,Matches,
Miłosz Szczepański,pl POL,"MF,FW",24-331,14.0,9,612.0,6.8,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,,,,0.15,0.29,0.44,0.15,0.44,Matches,
Kajetan Szmyt,pl POL,"FW,MF",20-263,17.0,6,699.0,7.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.26,0.26,0.0,0.26,Matches,
Jakub Kiełb,pl POL,"MF,FW",29-216,7.0,4,415.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.22,0.22,0.0,0.22,Matches,
Jędrzej Grobelny,pl POL,GK,21-233,5.0,4,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Kamil Kościelny,pl POL,MF,31-196,8.0,3,317.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Enis Destan,tr TUR,"MF,FW",20-246,12.0,2,249.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,0.36,0.0,0.36,0.36,0.36,Matches,
Milan Corryn,be BEL,FW,23-318,8.0,2,233.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.39,0.0,0.39,0.39,0.39,Matches,
Wiktor Pleśnierowicz,pl POL,DF,21-324,9.0,2,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Michał Jakóbowski,pl POL,MF,30-161,3.0,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Szymon Sarbinowski,pl POL,MF,18-329,2.0,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
