Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,MP
Kornel Osyra,pl POL,DF,30-009,,15,1407.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,17.0
Petar Debarliev,bg BUL,GK,31-242,,15,1395.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,16.0
Martin Mihaylov,bg BUL,DF,23-044,,14,1219.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,16.0
Hlib Bukhal,ua UKR,DF,27-096,,14,1211.0,13.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,0.07,0.0,0.07,0.07,0.07,Matches,14.0
Georgi Tartov,bg BUL,MF,24-075,,14,1185.0,13.2,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,,,,0.15,0.0,0.15,0.15,0.15,Matches,16.0
Plamen Krumov,bg BUL,"DF,MF",37-104,,12,1093.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,0.08,0.0,0.08,0.08,0.08,Matches,14.0
Vincent Marcel,fr FRA,MF,25-313,,9,831.0,9.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,0.11,0.0,0.11,0.11,0.11,Matches,11.0
Claudio Bonanni,it ITA,MF,25-348,,9,785.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,12.0
Bogomil Kostadinov Bozhurkin,bg BUL,MF,,,8,744.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,13.0
Tsvetelin Tonev,bg BUL,MF,31-044,,8,685.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.13,0.0,0.13,0.13,0.13,Matches,12.0
Róbert Mazáň,sk SVK,"DF,MF",29-007,,7,652.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,9.0
Emanuil Manev,bg BUL,MF,30-303,,7,568.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,9.0
Oleksii Lobov,ua UKR,DF,25-184,,6,620.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,10.0
Bojan Knežević,hr CRO,MF,26-019,,6,562.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,8.0
Todor Chavorski,bg BUL,FW,29-323,,6,517.0,5.7,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,0.17,0.0,0.17,0.0,0.0,Matches,8.0
Arsenio Valpoort,nl NED,"FW,MF",30-195,,6,484.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.19,0.0,0.19,0.19,0.19,Matches,9.0
Ivaylo Mihaylov,bg BUL,FW,22-203,,5,572.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,0.16,0.0,0.16,0.16,0.16,Matches,13.0
Álex Serrano,es ESP,"FW,MF",28-010,,5,438.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,5.0
Moussa Sylla,fr FRA,DF,23-338,,4,465.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,7.0
Aderinsola Habib Eseola,ua UKR,FW,31-233,,4,460.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,15.0
Mauro Cerqueira,pt POR,DF,30-180,,4,363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,7.0
Khadim Ndiaye,sn SEN,GK,22-310,,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,3.0
Patrik Ngingi,cd COD,MF,19-242,,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Milan Kremenović,rs SRB,MF,20-345,,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Diyan Dimov,bg BUL,GK,20-137,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Ivan Valev,,MF,,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Dimitar Yovchev,,DF,,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Squad Total,,,27.8,,198,1620.0,18.0,11.0,0.0,11.0,10.0,1.0,1.0,42.0,1.0,,,,0.61,0.0,0.61,0.56,0.56,,19.0
Opponent Total,,,26.6,,198,1620.0,18.0,34.0,0.0,34.0,32.0,2.0,2.0,40.0,1.0,,,,1.89,0.0,1.89,1.78,1.78,,19.0
Ivan Dichevski,bg BUL,GK,21-298,,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,17.0
Viktor Mitev,bg BUL,"DF,MF",30-078,,17,1326.0,14.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,0.07,0.0,0.07,0.07,0.07,Matches,17.0
Nikola Borisov,bg BUL,DF,22-087,,16,1421.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,0.06,0.0,0.06,0.06,0.06,Matches,18.0
Bozhidar Vasev,bg BUL,MF,29-339,,15,1223.0,13.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,,,,0.15,0.0,0.15,0.15,0.15,Matches,15.0
Ivaylo Klimentov,bg BUL,MF,25-013,,11,1007.0,11.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.09,0.0,0.09,0.09,0.09,Matches,13.0
Zdravko Dimitrov,bg BUL,FW,24-176,,10,910.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.1,0.0,0.1,0.1,0.1,Matches,11.0
Plamen Dimov,bg BUL,"DF,MF",32-110,,10,900.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.1,0.0,0.1,0.1,0.1,Matches,10.0
Mehmed Mehmed,bg BUL,FW,24-157,,8,741.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,14.0
Romeesh Ivey,pa PAN,FW,28-217,,8,725.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.12,0.12,0.0,0.12,Matches,10.0
Emanuel,br BRA,DF,23-107,,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,8.0
Ilker Budinov,bg BUL,DF,22-189,,8,699.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,9.0
Rumen Rumenov,bg BUL,MF,29-254,,8,675.0,7.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,,,0.27,0.0,0.27,0.27,0.27,Matches,8.0
Tsvetan Iliev,bg BUL,MF,32-293,,7,648.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,11.0
Prosper Mendy,gw GNB,DF,26-254,,7,643.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,12.0
Yancho Andreev,bg BUL,MF,33-039,,7,594.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,14.0
Velislav Boev,bg BUL,DF,19-059,,6,552.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,11.0
Ruslan Chernenko,ua UKR,MF,30-140,,5,504.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,7.0
Martin Toshev,bg BUL,"FW,MF",32-305,,5,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,7.0
Ibryam Ibrahim Ibryam,bg BUL,DF,,,4,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,6.0
Georgi Babaliev,bg BUL,FW,21-278,,4,361.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.25,0.0,0.25,0.25,0.25,Matches,10.0
Sami El Anabi,be BEL,DF,22-240,,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,6.0
Denys Balanyuk,ua UKR,MF,26-031,,4,303.0,3.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,,,0.59,0.0,0.59,0.59,0.59,Matches,7.0
Liandro Martis,cw CUW,"FW,MF",27-095,,3,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,8.0
Rodney Antwi,nl NED,FW,27-105,,3,247.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.36,0.0,0.36,0.36,0.36,Matches,6.0
Genadi Lugo,bg BUL,DF,33-286,,2,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,6.0
Hristiyan Hristov,bg BUL,GK,27-313,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Nikolay Yordanov Ivanov,bg BUL,MF,27-294,,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,4.0
Georgi Chukalov,bg BUL,MF,24-356,,0,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,3.0
Daniel Nachev,bg BUL,MF,19-149,,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,4.0
Stefan Petkov,bg BUL,GK,20-266,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Squad Total,,,26.6,,198,1620.0,18.0,13.0,1.0,14.0,13.0,0.0,0.0,47.0,1.0,,,,0.72,0.06,0.78,0.72,0.78,,19.0
Opponent Total,,,27.1,,198,1620.0,18.0,37.0,2.0,39.0,33.0,4.0,4.0,49.0,0.0,,,,2.06,0.11,2.17,1.83,1.94,,19.0
Alberto Brignoli,it ITA,GK,31-181,22.0,22,1980.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.05,0.05,0.0,0.05,Matches,
Rubén Pérez,es ESP,MF,33-296,21.0,20,1768.0,19.6,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,,,,0.0,0.1,0.1,0.0,0.1,Matches,
Adam Gnezda Čerin,si SVN,"MF,FW",23-215,20.0,19,1657.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,,,,0.05,0.05,0.11,0.05,0.11,Matches,
Bernard,br BRA,"MF,FW",30-161,19.0,17,1493.0,16.6,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,,,,0.06,0.24,0.3,0.06,0.3,Matches,
Juankar,es ESP,DF,32-323,19.0,17,1453.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Sebastián Palacios,ar ARG,"FW,MF",31-027,19.0,17,1448.0,16.1,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,,,,0.31,0.0,0.31,0.31,0.31,Matches,
Bart Schenkeveld,nl NED,DF,31-172,17.0,16,1449.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Dimitrios Kourmpelis,gr GRE,MF,29-106,18.0,15,1197.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Andraž Šporar,si SVN,FW,28-354,20.0,14,1249.0,13.9,7.0,2.0,9.0,4.0,3.0,3.0,2.0,0.0,,,,0.5,0.14,0.65,0.29,0.43,Matches,
Hörður Magnússon,is ISL,DF,30-005,13.0,13,1111.0,12.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.08,0.0,0.08,0.08,0.08,Matches,
Giannis Kotsiras,gr GRE,DF,30-062,13.0,11,976.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Benjamin Verbič,si SVN,"MF,FW",29-081,18.0,10,899.0,10.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,,,,0.2,0.1,0.3,0.2,0.3,Matches,
Zvonimir Šarlija,hr CRO,DF,26-171,11.0,9,802.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.11,0.11,0.0,0.11,Matches,
Fotis Ioannidis,gr GRE,FW,23-037,22.0,8,858.0,9.5,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,,,,0.31,0.21,0.52,0.31,0.52,Matches,
Aitor Cantalapiedra,es ESP,"FW,MF",27-006,9.0,8,647.0,7.2,8.0,2.0,10.0,4.0,4.0,4.0,0.0,0.0,,,,1.11,0.28,1.39,0.56,0.83,Matches,
Facundo Sánchez,ar ARG,DF,32-346,10.0,7,590.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.15,0.0,0.15,0.15,0.15,Matches,
Achilleas Poungouras,gr GRE,DF,27-065,7.0,6,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Georgios Vagiannidis,gr GRE,"DF,MF",21-157,17.0,5,552.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Cristian Ganea,ro ROU,DF,30-268,9.0,3,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Tymoteusz Puchacz,pl POL,DF,24-024,6.0,2,242.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Daniel Mancini,ar ARG,"MF,FW",26-097,3.0,2,177.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.51,0.0,0.51,0.51,0.51,Matches,
László Kleinheisler,hu HUN,FW,28-314,3.0,1,87.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,1.03,0.0,1.03,1.03,1.03,Matches,
Enis Çokaj,al ALB,MF,23-358,12.0,0,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Alexis Trouillet,fr FRA,MF,22-055,1.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Sotiris Alexandropoulos,gr GRE,MF,21-082,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Leandro Frroku,gr GRE,MF,19-166,1.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Bilal Abdelrahman Zeeni,fr FRA,FW,20-026,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Anargyros Kampetsis,gr GRE,FW,23-286,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Georgios Kyriopoulos,gr GRE,FW,18-176,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Yuri Lodygin,ru RUS,GK,32-266,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Georgios Sideras,gr GRE,DF,20-262,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Miguel Tavares,pt POR,FW,24-018,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
António Xavier,pt POR,"FW,MF",30-225,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Squad Total,,,29.4,22.0,242,1980.0,22.0,31.0,16.0,47.0,24.0,7.0,7.0,40.0,2.0,,,,1.41,0.73,2.14,1.09,1.82,,
Opponent Total,,,28.8,22.0,242,1980.0,22.0,11.0,7.0,18.0,10.0,1.0,2.0,73.0,6.0,,,,0.5,0.32,0.82,0.45,0.77,,
Orbelín Pineda,mx MEX,MF,26-329,,21,1589.0,17.7,7.0,1.0,8.0,7.0,0.0,0.0,3.0,0.0,,,,0.4,0.06,0.45,0.4,0.45,Matches,21.0
Sergio Araujo,ar ARG,FW,31-019,,20,1733.0,19.3,5.0,7.0,12.0,5.0,0.0,0.0,3.0,0.0,,,,0.26,0.36,0.62,0.26,0.62,Matches,21.0
Damian Szymański,pl POL,MF,27-245,,18,1422.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,,,,0.06,0.0,0.06,0.06,0.06,Matches,18.0
Levi Garcia,tt TRI,"FW,MF",25-088,,17,1534.0,17.0,11.0,3.0,14.0,9.0,2.0,3.0,1.0,0.0,,,,0.65,0.18,0.82,0.53,0.7,Matches,20.0
Domagoj Vida,hr CRO,DF,33-293,,17,1520.0,16.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,,,,0.06,0.06,0.12,0.06,0.12,Matches,17.0
Llazaros Rota,gr GRE,DF,25-177,,16,1441.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.06,0.06,0.0,0.06,Matches,18.0
Harold Moukoudi,cm CMR,DF,25-081,,15,1379.0,15.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,0.07,0.0,0.07,0.07,0.07,Matches,16.0
Giorgos Athanasiadis,gr GRE,GK,29-315,,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,15.0
Jens Jønsson,dk DEN,"MF,FW",30-037,,14,1288.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,19.0
Ehsan Hajsafi,ir IRN,DF,32-356,,14,1199.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.08,0.08,0.0,0.08,Matches,15.0
Mijat Gaćinović,rs SRB,MF,28-008,,11,974.0,10.8,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,,,,0.46,0.18,0.65,0.46,0.65,Matches,15.0
Nordin Amrabat,ma MAR,MF,35-322,,10,981.0,10.9,6.0,3.0,9.0,2.0,4.0,4.0,4.0,0.0,,,,0.55,0.28,0.83,0.18,0.46,Matches,19.0
Niclas Eliasson,se SWE,MF,27-071,,7,554.0,6.2,0.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,0.97,0.97,0.0,0.97,Matches,11.0
Milad Mohammadi,ir IRN,DF,29-140,,6,598.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.15,0.15,0.0,0.15,Matches,10.0
Cican Stankovic,at AUT,GK,30-104,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,6.0
Georgios Tzavellas,gr GRE,DF,35-082,,6,511.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,7.0
Petros Mantalos,gr GRE,"FW,MF",31-169,,4,517.0,5.7,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,,,,0.17,0.52,0.7,0.17,0.7,Matches,18.0
Djibril Sidibé,fr FRA,DF,30-202,,4,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,6.0
Gerasimos Mitoglou,gr GRE,DF,23-119,,4,371.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.24,0.0,0.24,0.24,0.24,Matches,7.0
Steven Zuber,ch SUI,MF,31-183,,3,423.0,4.7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.21,0.0,0.21,0.21,0.21,Matches,13.0
Tom van Weert,nl NED,FW,32-254,,2,250.0,2.8,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,,,1.44,0.0,1.44,1.44,1.44,Matches,8.0
Paolo Fernandes,es ESP,MF,24-191,,1,113.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.8,0.8,0.0,0.8,Matches,4.0
Konstantinos Galanopoulos,gr GRE,MF,25-050,,0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,7.0
Theodosios Machairas,gr GRE,FW,22-283,,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Christos Almpanis,gr GRE,"FW,MF",28-103,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Michalis Kosidis,gr GRE,FW,21-007,,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,2.0
Alexander Fransson,se SWE,MF,28-320,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Efthymios Christopoulos,gr GRE,FW,22-149,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,1.0
Michalis Bakakis,gr GRE,DF,31-335,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Vasilis Chatziemmanouil,gr GRE,GK,23-191,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Christos Giousis,gr GRE,FW,24-008,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Giorgos Moustakopoulos,gr GRE,MF,24-187,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Vedad Radonja,ba BIH,DF,21-163,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Georgios Sideras,gr GRE,DF,20-262,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Spyros Skondras,gr GRE,FW,21-316,,0,,,,,,,,,,,,,,,,,,,Matches,0.0
Squad Total,,,29.3,,231,1980.0,22.0,44.0,30.0,74.0,38.0,6.0,8.0,43.0,0.0,,,,2.0,1.36,3.36,1.73,3.09,,21.0
Opponent Total,,,28.8,,231,1980.0,22.0,9.0,5.0,14.0,6.0,3.0,4.0,64.0,2.0,,,,0.41,0.23,0.64,0.27,0.5,,21.0
Hwang In-beom,kr KOR,MF,26-149,,20,1735.0,19.3,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,,,,0.05,0.21,0.26,0.05,0.26,Matches,20.0
Yann M'Vila,fr FRA,MF,32-232,,19,1729.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.05,0.05,0.0,0.05,Matches,21.0
Oleg Reabciuk,md MDA,DF,25-031,,19,1607.0,17.9,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,0.17,0.17,0.0,0.17,Matches,19.0
Pep Biel,es ESP,MF,26-164,,16,1396.0,15.5,5.0,2.0,7.0,4.0,1.0,1.0,1.0,0.0,,,,0.32,0.13,0.45,0.26,0.39,Matches,17.0
James Rodríguez,co COL,"MF,FW",31-219,,16,1300.0,14.4,5.0,5.0,10.0,4.0,1.0,2.0,1.0,0.0,,,,0.35,0.35,0.69,0.28,0.62,Matches,17.0
Sokratis Papastathopoulos,gr GRE,DF,34-252,,15,1405.0,15.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,0.06,0.0,0.06,0.06,0.06,Matches,16.0
Alexandros Paschalakis,gr GRE,GK,33-203,,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,14.0
Cédric Bakambu,cd COD,FW,31-311,,14,1151.0,12.8,10.0,1.0,11.0,9.0,1.0,1.0,2.0,0.0,,,,0.78,0.08,0.86,0.7,0.78,Matches,18.0
Andreas Ntoi,gr GRE,DF,20-014,,13,1125.0,12.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.08,0.08,0.0,0.08,Matches,13.0
Giorgos Masouras,gr GRE,MF,29-046,,12,993.0,11.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,,,,0.27,0.0,0.27,0.27,0.27,Matches,20.0
Pipa,es ESP,DF,25-021,,7,682.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.13,0.13,0.0,0.13,Matches,11.0
Rodinei,br BRA,DF,31-018,,7,624.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.14,0.14,0.0,0.14,Matches,7.0
Kostas Fortounis,gr GRE,MF,30-123,,7,474.0,5.3,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,,,,0.57,0.57,1.14,0.57,1.14,Matches,11.0
Youssef El-Arabi,ma MAR,FW,36-013,,6,730.0,8.1,4.0,5.0,9.0,3.0,1.0,2.0,0.0,0.0,,,,0.49,0.62,1.11,0.37,0.99,Matches,21.0
Ousseynou Ba,sn SEN,DF,27-097,,6,499.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,8.0
Tomáš Vaclík,cz CZE,GK,33-324,,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,5.0
Marious Vrousai,gr GRE,"DF,MF",24-229,,4,363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,9.0
Panagiotis Retsos,gr GRE,DF,24-191,,4,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,5.0
